
OccupationCode|EducationLevel
49-9012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9021.00|Less than a High School Diploma
49-9021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9021.00|Some College Courses
49-9031.00|High School Diploma - or the equivalent (for example, GED)
49-9031.00|Less than a High School Diploma
49-9031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9041.00|Associate's Degree (or other 2-year degree)
49-9041.00|High School Diploma - or the equivalent (for example, GED)
49-9041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9043.00|Associate's Degree (or other 2-year degree)
49-9043.00|High School Diploma - or the equivalent (for example, GED)
49-9043.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9043.00|Some College Courses
49-9045.00|High School Diploma - or the equivalent (for example, GED)
49-9045.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9045.00|Some College Courses
49-9051.00|High School Diploma - or the equivalent (for example, GED)
49-9051.00|Less than a High School Diploma
49-9051.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9051.00|Some College Courses
49-9052.00|High School Diploma - or the equivalent (for example, GED)
49-9052.00|Less than a High School Diploma
49-9052.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9052.00|Some College Courses
49-9061.00|Associate's Degree (or other 2-year degree)
49-9061.00|Bachelor's Degree
49-9061.00|High School Diploma - or the equivalent (for example, GED)
49-9061.00|Less than a High School Diploma
49-9061.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9061.00|Some College Courses
49-9062.00|Associate's Degree (or other 2-year degree)
49-9062.00|Bachelor's Degree
49-9062.00|Less than a High School Diploma
49-9062.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9064.00|High School Diploma - or the equivalent (for example, GED)
49-9064.00|Some College Courses
49-9071.00|High School Diploma - or the equivalent (for example, GED)
49-9071.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9071.00|Some College Courses
49-9081.00|Associate's Degree (or other 2-year degree)
49-9081.00|High School Diploma - or the equivalent (for example, GED)
49-9081.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9081.00|Some College Courses
49-9091.00|High School Diploma - or the equivalent (for example, GED)
49-9091.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9092.00|Associate's Degree (or other 2-year degree)
49-9092.00|Bachelor's Degree
49-9092.00|High School Diploma - or the equivalent (for example, GED)
49-9092.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9095.00|High School Diploma - or the equivalent (for example, GED)
49-9095.00|Less than a High School Diploma
49-9096.00|High School Diploma - or the equivalent (for example, GED)
49-9096.00|Less than a High School Diploma
49-9096.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9097.00|High School Diploma - or the equivalent (for example, GED)
49-9097.00|Less than a High School Diploma
49-9097.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9097.00|Some College Courses
49-9098.00|Associate's Degree (or other 2-year degree)
49-9098.00|High School Diploma - or the equivalent (for example, GED)
49-9098.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9098.00|Some College Courses
49-9099.01|High School Diploma - or the equivalent (for example, GED)
49-9099.01|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
49-9099.01|Some College Courses
51-1011.00|Associate's Degree (or other 2-year degree)
51-1011.00|Bachelor's Degree
51-1011.00|High School Diploma - or the equivalent (for example, GED)
51-1011.00|Less than a High School Diploma
51-1011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-1011.00|Some College Courses
51-2011.00|Associate's Degree (or other 2-year degree)
51-2011.00|Bachelor's Degree
51-2011.00|High School Diploma - or the equivalent (for example, GED)
51-2011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-2021.00|High School Diploma - or the equivalent (for example, GED)
51-2021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-2022.00|High School Diploma - or the equivalent (for example, GED)
51-2022.00|Less than a High School Diploma
51-2022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-2022.00|Some College Courses
51-2023.00|High School Diploma - or the equivalent (for example, GED)
51-2023.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-2023.00|Some College Courses
51-2031.00|High School Diploma - or the equivalent (for example, GED)
51-2031.00|Less than a High School Diploma
51-2031.00|Master's Degree
51-2031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-2041.00|High School Diploma - or the equivalent (for example, GED)
51-2041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-2041.00|Some College Courses
51-2051.00|High School Diploma - or the equivalent (for example, GED)
51-2051.00|Less than a High School Diploma
51-2051.00|Some College Courses
51-2061.00|High School Diploma - or the equivalent (for example, GED)
51-2092.00|Bachelor's Degree
51-2092.00|High School Diploma - or the equivalent (for example, GED)
51-2092.00|Some College Courses
51-3011.00|High School Diploma - or the equivalent (for example, GED)
51-3011.00|Less than a High School Diploma
51-3011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-3011.00|Some College Courses
51-3021.00|High School Diploma - or the equivalent (for example, GED)
51-3021.00|Less than a High School Diploma
51-3021.00|Some College Courses
51-3022.00|High School Diploma - or the equivalent (for example, GED)
51-3023.00|High School Diploma - or the equivalent (for example, GED)
51-3023.00|Less than a High School Diploma
51-3023.00|Some College Courses
51-3091.00|High School Diploma - or the equivalent (for example, GED)
51-3091.00|Less than a High School Diploma
51-3091.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-3091.00|Some College Courses
51-3092.00|High School Diploma - or the equivalent (for example, GED)
51-3092.00|Less than a High School Diploma
51-3092.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-3092.00|Some College Courses
51-3093.00|High School Diploma - or the equivalent (for example, GED)
51-3093.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4021.00|High School Diploma - or the equivalent (for example, GED)
51-4021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4022.00|High School Diploma - or the equivalent (for example, GED)
51-4022.00|Less than a High School Diploma
51-4023.00|High School Diploma - or the equivalent (for example, GED)
51-4023.00|Less than a High School Diploma
51-4023.00|Some College Courses
51-4031.00|High School Diploma - or the equivalent (for example, GED)
51-4031.00|Less than a High School Diploma
51-4031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4031.00|Some College Courses
51-4032.00|Associate's Degree (or other 2-year degree)
51-4032.00|Bachelor's Degree
51-4032.00|High School Diploma - or the equivalent (for example, GED)
51-4032.00|Less than a High School Diploma
51-4032.00|Some College Courses
51-4033.00|High School Diploma - or the equivalent (for example, GED)
51-4033.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4034.00|Associate's Degree (or other 2-year degree)
51-4034.00|High School Diploma - or the equivalent (for example, GED)
51-4034.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4035.00|High School Diploma - or the equivalent (for example, GED)
51-4035.00|Less than a High School Diploma
51-4035.00|Some College Courses
51-4041.00|High School Diploma - or the equivalent (for example, GED)
51-4041.00|Less than a High School Diploma
51-4041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4041.00|Some College Courses
51-4052.00|High School Diploma - or the equivalent (for example, GED)
51-4052.00|Less than a High School Diploma
51-4052.00|Some College Courses
51-4062.00|High School Diploma - or the equivalent (for example, GED)
51-4062.00|Less than a High School Diploma
51-4062.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4071.00|High School Diploma - or the equivalent (for example, GED)
51-4071.00|Less than a High School Diploma
51-4071.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4072.00|High School Diploma - or the equivalent (for example, GED)
51-4072.00|Less than a High School Diploma
51-4072.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4081.00|High School Diploma - or the equivalent (for example, GED)
51-4081.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4081.00|Some College Courses
51-4111.00|Associate's Degree (or other 2-year degree)
51-4111.00|High School Diploma - or the equivalent (for example, GED)
51-4111.00|Less than a High School Diploma
51-4111.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4121.00|High School Diploma - or the equivalent (for example, GED)
51-4121.00|Less than a High School Diploma
51-4121.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4121.00|Some College Courses
51-4122.00|High School Diploma - or the equivalent (for example, GED)
51-4122.00|Less than a High School Diploma
51-4122.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4191.00|High School Diploma - or the equivalent (for example, GED)
51-4191.00|Less than a High School Diploma
51-4191.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4192.00|Associate's Degree (or other 2-year degree)
51-4192.00|High School Diploma - or the equivalent (for example, GED)
51-4192.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-4192.00|Some College Courses
51-4193.00|High School Diploma - or the equivalent (for example, GED)
51-4193.00|Less than a High School Diploma
51-4194.00|Associate's Degree (or other 2-year degree)
51-4194.00|High School Diploma - or the equivalent (for example, GED)
51-4194.00|Less than a High School Diploma
51-4194.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-5111.00|Associate's Degree (or other 2-year degree)
51-5111.00|Bachelor's Degree
51-5111.00|High School Diploma - or the equivalent (for example, GED)
51-5111.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-5111.00|Some College Courses
51-5112.00|High School Diploma - or the equivalent (for example, GED)
51-5112.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-5112.00|Some College Courses
51-5113.00|High School Diploma - or the equivalent (for example, GED)
51-6011.00|High School Diploma - or the equivalent (for example, GED)
51-6011.00|Less than a High School Diploma
51-6021.00|Doctoral Degree
51-6021.00|High School Diploma - or the equivalent (for example, GED)
51-6021.00|Less than a High School Diploma
51-6031.00|High School Diploma - or the equivalent (for example, GED)
51-6031.00|Less than a High School Diploma
51-6041.00|High School Diploma - or the equivalent (for example, GED)
51-6041.00|Less than a High School Diploma
51-6042.00|High School Diploma - or the equivalent (for example, GED)
51-6042.00|Less than a High School Diploma
51-6042.00|Some College Courses
51-6052.00|Bachelor's Degree
51-6052.00|High School Diploma - or the equivalent (for example, GED)
51-6052.00|Less than a High School Diploma
51-6052.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-6061.00|Bachelor's Degree
51-6061.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
51-6061.00|High School Diploma - or the equivalent (for example, GED)
51-6061.00|Less than a High School Diploma
51-6062.00|High School Diploma - or the equivalent (for example, GED)
51-6062.00|Less than a High School Diploma
51-6063.00|High School Diploma - or the equivalent (for example, GED)
51-6063.00|Less than a High School Diploma
51-6064.00|High School Diploma - or the equivalent (for example, GED)
51-6064.00|Less than a High School Diploma
51-6091.00|High School Diploma - or the equivalent (for example, GED)
51-6091.00|Less than a High School Diploma
51-6091.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-6092.00|Bachelor's Degree
51-6092.00|High School Diploma - or the equivalent (for example, GED)
51-6092.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-6092.00|Some College Courses
51-6093.00|High School Diploma - or the equivalent (for example, GED)
51-6093.00|Less than a High School Diploma
51-7011.00|High School Diploma - or the equivalent (for example, GED)
51-7011.00|Less than a High School Diploma
51-7011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-7021.00|High School Diploma - or the equivalent (for example, GED)
51-7021.00|Less than a High School Diploma
51-7031.00|High School Diploma - or the equivalent (for example, GED)
51-7031.00|Less than a High School Diploma
51-7031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-7032.00|High School Diploma - or the equivalent (for example, GED)
51-7032.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-7032.00|Some College Courses
51-7041.00|High School Diploma - or the equivalent (for example, GED)
51-7041.00|Less than a High School Diploma
51-7041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-7041.00|Some College Courses
51-7042.00|High School Diploma - or the equivalent (for example, GED)
51-7042.00|Less than a High School Diploma
51-8011.00|Associate's Degree (or other 2-year degree)
51-8011.00|Bachelor's Degree
51-8011.00|High School Diploma - or the equivalent (for example, GED)
51-8011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-8011.00|Some College Courses
51-8012.00|Associate's Degree (or other 2-year degree)
51-8012.00|High School Diploma - or the equivalent (for example, GED)
51-8012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-8012.00|Some College Courses
51-8013.00|High School Diploma - or the equivalent (for example, GED)
51-8013.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-8013.03|Associate's Degree (or other 2-year degree)
51-8013.03|Bachelor's Degree
51-8013.03|High School Diploma - or the equivalent (for example, GED)
51-8013.03|Less than a High School Diploma
51-8013.03|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-8013.03|Some College Courses
51-8013.04|Associate's Degree (or other 2-year degree)
51-8013.04|Bachelor's Degree
51-8013.04|High School Diploma - or the equivalent (for example, GED)
51-8013.04|Less than a High School Diploma
51-8013.04|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-8021.00|High School Diploma - or the equivalent (for example, GED)
51-8021.00|Less than a High School Diploma
51-8021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-8021.00|Some College Courses
51-8031.00|Associate's Degree (or other 2-year degree)
51-8031.00|High School Diploma - or the equivalent (for example, GED)
51-8031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-8031.00|Some College Courses
51-8092.00|High School Diploma - or the equivalent (for example, GED)
51-8092.00|Less than a High School Diploma
51-8092.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-8092.00|Some College Courses
51-8093.00|Associate's Degree (or other 2-year degree)
51-8093.00|High School Diploma - or the equivalent (for example, GED)
51-8093.00|Some College Courses
51-8099.01|Associate's Degree (or other 2-year degree)
51-8099.01|High School Diploma - or the equivalent (for example, GED)
51-8099.01|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9011.00|Associate's Degree (or other 2-year degree)
51-9011.00|High School Diploma - or the equivalent (for example, GED)
51-9011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9011.00|Some College Courses
51-9012.00|High School Diploma - or the equivalent (for example, GED)
51-9021.00|High School Diploma - or the equivalent (for example, GED)
51-9021.00|Less than a High School Diploma
51-9021.00|Some College Courses
51-9022.00|Associate's Degree (or other 2-year degree)
51-9022.00|High School Diploma - or the equivalent (for example, GED)
51-9022.00|Less than a High School Diploma
51-9022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9023.00|High School Diploma - or the equivalent (for example, GED)
51-9023.00|Some College Courses
51-9031.00|Associate's Degree (or other 2-year degree)
51-9031.00|High School Diploma - or the equivalent (for example, GED)
51-9031.00|Less than a High School Diploma
51-9031.00|Some College Courses
51-9032.00|High School Diploma - or the equivalent (for example, GED)
51-9032.00|Less than a High School Diploma
51-9041.00|High School Diploma - or the equivalent (for example, GED)
51-9041.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9041.00|Some College Courses
51-9051.00|High School Diploma - or the equivalent (for example, GED)
51-9051.00|Less than a High School Diploma
51-9051.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9061.00|High School Diploma - or the equivalent (for example, GED)
51-9061.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9071.06|Bachelor's Degree
51-9071.06|High School Diploma - or the equivalent (for example, GED)
51-9071.06|Less than a High School Diploma
51-9071.06|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9081.00|High School Diploma - or the equivalent (for example, GED)
51-9081.00|Less than a High School Diploma
51-9081.00|Master's Degree
51-9081.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9081.00|Some College Courses
51-9082.00|Associate's Degree (or other 2-year degree)
51-9082.00|Bachelor's Degree
51-9082.00|High School Diploma - or the equivalent (for example, GED)
51-9082.00|Less than a High School Diploma
51-9082.00|Master's Degree
51-9082.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9082.00|Some College Courses
51-9083.00|Associate's Degree (or other 2-year degree)
51-9083.00|High School Diploma - or the equivalent (for example, GED)
51-9083.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9083.00|Some College Courses
51-9111.00|High School Diploma - or the equivalent (for example, GED)
51-9123.00|High School Diploma - or the equivalent (for example, GED)
51-9123.00|Less than a High School Diploma
51-9123.00|Some College Courses
51-9124.00|High School Diploma - or the equivalent (for example, GED)
51-9124.00|Less than a High School Diploma
51-9124.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9141.00|High School Diploma - or the equivalent (for example, GED)
51-9141.00|Less than a High School Diploma
51-9151.00|Bachelor's Degree
51-9151.00|High School Diploma - or the equivalent (for example, GED)
51-9151.00|Some College Courses
51-9161.00|Associate's Degree (or other 2-year degree)
51-9161.00|Bachelor's Degree
51-9161.00|High School Diploma - or the equivalent (for example, GED)
51-9161.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9161.00|Some College Courses
51-9162.00|Associate's Degree (or other 2-year degree)
51-9162.00|Bachelor's Degree
51-9162.00|High School Diploma - or the equivalent (for example, GED)
51-9162.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9162.00|Some College Courses
51-9191.00|High School Diploma - or the equivalent (for example, GED)
51-9191.00|Less than a High School Diploma
51-9191.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9193.00|High School Diploma - or the equivalent (for example, GED)
51-9194.00|Associate's Degree (or other 2-year degree)
51-9194.00|High School Diploma - or the equivalent (for example, GED)
51-9194.00|Less than a High School Diploma
51-9195.03|Associate's Degree (or other 2-year degree)
51-9195.03|High School Diploma - or the equivalent (for example, GED)
51-9195.03|Less than a High School Diploma
51-9195.03|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9195.04|High School Diploma - or the equivalent (for example, GED)
51-9195.04|Less than a High School Diploma
51-9195.04|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9195.05|Bachelor's Degree
51-9195.05|High School Diploma - or the equivalent (for example, GED)
51-9195.05|Less than a High School Diploma
51-9195.05|Some College Courses
51-9196.00|High School Diploma - or the equivalent (for example, GED)
51-9196.00|Less than a High School Diploma
51-9196.00|Some College Courses
51-9197.00|High School Diploma - or the equivalent (for example, GED)
51-9197.00|Less than a High School Diploma
51-9197.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
51-9198.00|High School Diploma - or the equivalent (for example, GED)
51-9198.00|Less than a High School Diploma
51-9198.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-1041.00|Bachelor's Degree
53-1041.00|High School Diploma - or the equivalent (for example, GED)
53-1041.00|Less than a High School Diploma
53-1042.00|Bachelor's Degree
53-1042.00|High School Diploma - or the equivalent (for example, GED)
53-1042.00|Less than a High School Diploma
53-1042.00|Some College Courses
53-1042.01|Associate's Degree (or other 2-year degree)
